asset_id,query,name,file,source,source_url,creator,license,duration,tags,risk
freesound_686107,funny scream short,JOE BOZONI!!! sfx.mp3,assets/sounds/funny_scream_short__686107__JOE_BOZONI_sfx_mp3.mp3,Freesound,https://freesound.org/people/TrifHero/sounds/686107/,TrifHero,https://creativecommons.org/licenses/by/4.0/,1.63702,"battlecry,bozo,funny,idiot,joe-bozoni,scream",LOW_ATTRIBUTION_REQUIRED
freesound_315795,monster roar short,dragon roar short 4.aiff,assets/sounds/monster_roar_short__315795__dragon_roar_short_4_aiff.mp3,Freesound,https://freesound.org/people/bevibeldesign/sounds/315795/,bevibeldesign,http://creativecommons.org/publicdomain/zero/1.0/,1.27406,"beast,creature,dragon,monster,roar,short,vocalization",LOW
freesound_75143,monster roar short,slide_cup_16b_44k_0.747s.aif,assets/sounds/monster_roar_short__75143__slide_cup_16b_44k_0_747s_aif.mp3,Freesound,https://freesound.org/people/willc2_45220/sounds/75143/,willc2_45220,http://creativecommons.org/licenses/by/3.0/,0.747392,"cup,growl,monster,roar,short,slide",LOW_ATTRIBUTION_REQUIRED
freesound_132874,monster roar short,Monster Short Roar.wav,assets/sounds/monster_roar_short__132874__Monster_Short_Roar_wav.mp3,Freesound,https://freesound.org/people/ecfike/sounds/132874/,ecfike,http://creativecommons.org/publicdomain/zero/1.0/,1.31222,"creature,fantasy,monster,roar,short",LOW
freesound_398254,monster roar short,Low and Short Monster Growl or Purr,assets/sounds/monster_roar_short__398254__Low_and_Short_Monster_Growl_or_Purr.mp3,Freesound,https://freesound.org/people/djlprojects/sounds/398254/,djlprojects,https://creativecommons.org/licenses/by/4.0/,1.33322,"Animal,Breathing,Creature,FX,Fantasy,Foley,Growl,Heavy,Large,Lion,Monster,Purr,Roar,SFX,SciFi,Short,Snarl,Sub-Harmonics,Tiger",LOW_ATTRIBUTION_REQUIRED
