path,type,stem,tags
assets\sounds\funny_scream_short__686107__JOE_BOZONI_sfx_mp3.mp3,sound,funny_scream_short__686107__JOE_BOZONI_sfx_mp3,"scream,funny"
assets\sounds\monster_roar_short__132874__Monster_Short_Roar_wav.mp3,sound,monster_roar_short__132874__Monster_Short_Roar_wav,monster
assets\sounds\monster_roar_short__315795__dragon_roar_short_4_aiff.mp3,sound,monster_roar_short__315795__dragon_roar_short_4_aiff,monster
assets\sounds\monster_roar_short__398254__Low_and_Short_Monster_Growl_or_Purr.mp3,sound,monster_roar_short__398254__Low_and_Short_Monster_Growl_or_Purr,"monster,grow"
assets\sounds\monster_roar_short__75143__slide_cup_16b_44k_0_747s_aif.mp3,sound,monster_roar_short__75143__slide_cup_16b_44k_0_747s_aif,monster
